Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773292187,50,,Aggregated,14.600000,0.000000,19,27,34,50,2100,2100,2200,2200,2300,2300,2300,262,0,19,420.96483625940033,7.940899995446671,2255.819900005008,103197.74427480916
1773292188,50,,Aggregated,14.600000,0.000000,19,26,32,46,2100,2100,2200,2200,2300,2300,2300,282,0,19,392.1977971629995,7.940899995446671,2255.819900005008,102646.0390070922
1773292189,50,,Aggregated,14.200000,0.000000,18,26,31,40,2100,2100,2200,2200,2300,2300,2300,298,0,18,372.038206040149,7.940899995446671,2255.819900005008,102788.24161073826
1773292190,50,,Aggregated,14.600000,0.000000,18,25,29,35,2100,2100,2100,2200,2300,2300,2300,318,0,18,349.62586792447746,7.940899995446671,2255.819900005008,102943.16666666667
1773292191,50,,Aggregated,15.000000,0.000000,18,25,30,36,2100,2100,2100,2200,2300,2300,2300,333,0,18,335.74997657651636,7.940899995446671,2255.819900005008,102715.95795795796
1773292192,50,,Aggregated,15.700000,0.000000,18,24,28,34,2100,2100,2100,2200,2300,2300,2300,354,0,18,316.82615282479264,7.940899995446671,2255.819900005008,102469.7768361582
1773292193,50,,Aggregated,15.900000,0.000000,18,24,28,33,2100,2100,2100,2200,2300,2300,2300,366,0,18,307.00047622941963,7.940899995446671,2255.819900005008,102370.8306010929
1773292194,50,,Aggregated,16.100000,0.000000,18,24,28,33,2100,2100,2100,2200,2300,2300,2300,381,0,18,295.6974803148634,7.940899995446671,2255.819900005008,102338.38320209974
1773292195,50,,Aggregated,16.700000,0.000000,18,23,28,32,2100,2100,2100,2200,2300,2300,2300,395,0,18,285.7305893669704,7.940899995446671,2255.819900005008,102435.53670886076
1773292196,50,,Aggregated,17.000000,0.000000,18,23,28,32,2100,2100,2100,2200,2300,2300,2300,417,0,18,271.85225251787307,7.940899995446671,2255.819900005008,102134.1654676259
1773292197,50,,Aggregated,15.600000,0.000000,18,23,28,32,2100,2100,2100,2200,2300,2300,2300,434,0,18,261.8494419353729,7.940899995446671,2255.819900005008,101904.83410138248
1773292198,50,,Aggregated,15.800000,0.000000,18,23,27,31,2100,2100,2100,2200,2300,2300,2300,449,0,18,253.68152605779667,7.940899995446671,2255.819900005008,102014.72383073496
1773292199,50,,Aggregated,16.900000,0.000000,18,23,26,30,2100,2100,2100,2200,2300,2300,2300,470,0,18,243.08167936155286,7.940899995446671,2255.819900005008,102155.32127659574
1773292200,50,,Aggregated,16.900000,0.000000,18,23,26,30,2100,2100,2100,2200,2300,2300,2300,484,0,18,236.58282252051495,7.940899995446671,2255.819900005008,102020.92768595042
1773292201,50,,Aggregated,16.600000,0.000000,18,22,26,29,2100,2100,2100,2200,2300,2300,2300,500,0,18,229.5257113998523,7.940899995446671,2255.819900005008,102035.012
1773292202,50,,Aggregated,16.800000,0.000000,18,22,26,28,110,2100,2100,2200,2300,2300,2300,512,0,18,224.586219726433,7.940899995446671,2255.819900005008,102056.296875
1773292203,50,,Aggregated,16.600000,0.000000,18,22,26,28,93,2100,2100,2200,2300,2300,2300,540,0,18,213.8145529628269,7.940899995446671,2255.819900005008,102010.41481481481
1773292204,50,,Aggregated,16.300000,0.000000,18,22,26,28,63,2100,2100,2200,2300,2300,2300,553,0,18,209.2638560577355,7.940899995446671,2255.819900005008,102062.49547920434
1773292206,50,,Aggregated,15.700000,0.000000,18,22,26,28,60,2100,2100,2200,2300,2300,2300,569,0,18,203.88182952536351,7.940899995446671,2255.819900005008,102108.3251318102
1773292207,50,,Aggregated,17.100000,0.000000,18,22,25,28,51,2100,2100,2200,2300,2300,2300,585,0,18,198.77879965798402,7.940899995446671,2255.819900005008,102123.8547008547
1773292208,50,,Aggregated,17.100000,0.000000,18,22,26,28,51,2100,2100,2200,2300,2300,2300,599,0,18,194.7433986642985,7.940899995446671,2255.819900005008,102295.76460767946
1773292209,50,,Aggregated,17.200000,0.000000,18,22,26,28,49,2100,2100,2100,2300,2300,2300,615,0,18,190.16533430881762,7.940899995446671,2255.819900005008,102279.22276422764
1773292210,50,,Aggregated,16.500000,0.000000,18,22,26,28,48,2100,2100,2100,2300,2300,2300,631,0,18,185.90128779702908,7.940899995446671,2255.819900005008,102110.41679873217
1773292211,50,,Aggregated,16.600000,0.000000,18,22,25,28,47,2100,2100,2100,2300,2300,2300,648,0,18,181.47168595667742,7.940899995446671,2255.819900005008,102126.31172839506
1773292212,50,,Aggregated,16.600000,0.000000,18,22,26,28,46,2100,2100,2100,2300,2300,2300,668,0,18,176.72492335320445,7.940899995446671,2255.819900005008,102326.12724550898
1773292213,50,,Aggregated,15.900000,0.000000,18,22,26,28,45,2100,2100,2100,2300,2300,2300,681,0,18,173.6782276063894,7.940899995446671,2255.819900005008,102357.33920704846
1773292214,50,,Aggregated,16.200000,0.000000,18,22,25,27,44,2100,2100,2100,2300,2300,2300,702,0,18,168.9886965811309,7.940899995446671,2255.819900005008,102207.40598290598
1773292215,50,,Aggregated,16.900000,0.000000,18,22,25,27,40,2100,2100,2100,2300,2300,2300,721,0,18,165.04042649091608,7.940899995446671,2255.819900005008,102330.57975034675
