Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,373,0,24,156.23972600552764,14.525999999023043,2255.819900005008,119618.0,6.410220903784234,0.0,24,27,30,33,46,2100,2100,2200,2300,2300,2300
GET,/about/,265,0,11,154.90341132055343,7.940899995446671,2135.5289999992237,90541.0,4.554178390087995,0.0,11,13,15,16,22,2100,2100,2100,2100,2100,2100
GET,/login/,128,0,11,162.0493054683152,7.965000004332978,2198.793299998215,77723.0,2.199754090306654,0.0,11,14,15,16,26,2100,2100,2100,2200,2200,2200
,Aggregated,766,0,18,156.74821527408983,7.940899995446671,2255.819900005008,102557.99347258486,13.164153384178883,0.0,18,22,26,28,40,2100,2100,2100,2300,2300,2300
